covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CCNA2,0.11690350841647064,1.1240109668596492,0.11819614720147936,-0.11475668320982362,0.3485637000427649,0.8915830546437806,1.4170308049714304,0.0,0.9890636131920166,0.3226320189650177,1.632038471924575
CCNB1,0.1480230421996344,1.1595396143984307,0.10021399813019152,-0.04839278488230528,0.3444388692815741,0.952759484050224,1.4111978310030504,0.0,1.4770695208401174,0.1396570026900821,2.8400401797516777
CCNB2,-0.021734278408817604,0.9785002091418613,0.09155350925876095,-0.20117585921424344,0.1577073023966082,0.8177686067631544,1.1708234473324197,0.0,-0.2373942690431367,0.8123509353204922,0.2998249890635211
CCND2,-0.2529253485298793,0.7765258484562377,0.05459969719636364,-0.3599387886015446,-0.145911908458214,0.6977190331216849,0.8642338315221446,0.0,-4.632358081039398,3.615241526674572e-06,18.077476535509938
CCNE1,-0.10516634037916016,0.9001747747187152,0.0650754634269419,-0.23271190497321975,0.02237922421489945,0.7923818219063257,1.0226315175812855,0.0,-1.6160674829035522,0.10607972372010643,3.2367791717540073
CCNE2,0.054072328345011106,1.0555609463704307,0.07515358470018126,-0.09322599097642459,0.2013706476664468,0.9109876020537456,1.223078018834228,0.0,0.7194910071253154,0.47183844117251506,1.083635133644143
CCNF,0.0629918593978145,1.0650181693067797,0.08613422386870849,-0.10582811722116443,0.23181183601679345,0.8995792569707113,1.2608824538408563,0.0,0.7313220758084601,0.4645824494682307,1.105993440403579
CCNG1,-0.07486619649207332,0.9278676299667217,0.08465357196396646,-0.24078414870411724,0.0910517557199706,0.7860112696299582,1.0953256931613429,0.0,-0.8843831955955831,0.37648939119024316,1.4093188820296325
CCNG2,-0.1097086281423629,0.8960951941834238,0.07046313401929896,-0.24781383305800792,0.02839657677328211,0.780505234026075,1.0288036031438093,0.0,-1.5569649245563657,0.1194788133238636,3.0651732810536996
CCNH,-0.1453416186283738,0.8647268358511813,0.10285534260423805,-0.34693438575020863,0.056251148493460995,0.7068517062806245,1.057863331158648,0.0,-1.4130682466112863,0.1576356585647594,2.665334172938795
